year,puzzle,asr
1936,5,59
1937,2,65
1938,1,57
1939,0,53
1940,3,59
1941,2,54
1942,1,62
1943,4,70
1944,2,61
1945,2,82
1946,4,69
1947,3,69
1948,0,71
1949,2,65
1950,1,94
1951,5,104
1952,4,96
1953,3,85
1954,0,90
1955,2,73
1956,1,86
1957,3,78
1958,1,61
1959,1,73
1960,3,73
1961,6,69
1962,6,82
1963,6,74
1964,2,57
1965,5,62
1966,6,58
1967,6,60
1968,3,51
1969,4,55
1970,4,78
1971,4,90
1972,4,98
1973,6,81
1974,5,98
1975,4,77
1976,9,115
1977,7,90
1978,4,82
1979,11,88
1980,13,91
1981,9,101
1982,9,86
1983,10,79
1984,4,70
1985,8,66
1986,4,68
1987,5,73
1988,13,79
1989,14,81
1990,7,75
1991,9,68
1992,6,59
1993,7,57
1994,7,51
1995,6,58
1996,12,67
1997,4,58
1998,8,57
1999,10,55
2000,4,53
2001,4,46
2002,11,45
2003,6,44
2004,23,99
2005,20,95
2006,28,101
2007,22,96
2008,18,93
2009,24,100
2010,19,96
2011,16,96
2012,18,106
2013,16,123
2014,28,122
2015,18,111
2016,20,121
2017,24,116
2018,35,106
2019,25,106
